epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3794,0.34335,1.26468,0.82051,0.9988,1,0.995,0.97951,0.2573,0.46355,0.77433,0.000664,0.000664,0.000664
2,103.816,0.31339,0.51017,0.81417,0.99986,1,0.995,0.98463,0.22394,0.23529,0.77816,0.00131749,0.00131749,0.00131749
3,155.232,0.29972,0.35849,0.81154,1,0.98874,0.99493,0.98956,0.21287,0.24336,0.77214,0.00195779,0.00195779,0.00195779
4,206.78,0.26996,0.29165,0.80588,0.99896,1,0.995,0.99365,0.17448,0.18262,0.76889,0.0019406,0.0019406,0.0019406
5,258.545,0.26365,0.26922,0.80699,0.99882,1,0.995,0.99003,0.18056,0.19139,0.76831,0.0019208,0.0019208,0.0019208
6,310.351,0.24815,0.25199,0.80142,0.99865,1,0.99454,0.99205,0.19039,0.19615,0.77016,0.001901,0.001901,0.001901
7,362.216,0.22492,0.22845,0.79991,0.99882,1,0.99498,0.99495,0.13836,0.14371,0.76387,0.0018812,0.0018812,0.0018812
8,414.16,0.22161,0.22498,0.79911,0.99886,1,0.995,0.99421,0.16086,0.15906,0.76596,0.0018614,0.0018614,0.0018614
9,466.106,0.20749,0.2119,0.79344,0.99554,1,0.99433,0.99416,0.14915,0.15567,0.76302,0.0018416,0.0018416,0.0018416
10,518.099,0.21329,0.20665,0.79702,0.99991,1,0.995,0.99499,0.12726,0.12536,0.761,0.0018218,0.0018218,0.0018218
11,570.087,0.19657,0.198,0.7956,0.99994,1,0.995,0.99487,0.12346,0.12662,0.7609,0.001802,0.001802,0.001802
12,622.353,0.19212,0.19101,0.79267,0.99992,1,0.995,0.9949,0.12577,0.12891,0.76103,0.0017822,0.0017822,0.0017822
13,674.418,0.1897,0.19129,0.79207,0.99932,1,0.995,0.99491,0.12228,0.12539,0.76115,0.0017624,0.0017624,0.0017624
14,726.528,0.19034,0.18764,0.79327,0.99994,1,0.995,0.99499,0.11986,0.12083,0.75839,0.0017426,0.0017426,0.0017426
15,778.878,0.17805,0.17833,0.78939,0.9998,1,0.995,0.995,0.10565,0.11786,0.75892,0.0017228,0.0017228,0.0017228
16,831.297,0.17773,0.17574,0.79178,0.99994,1,0.995,0.99499,0.10813,0.1102,0.75934,0.001703,0.001703,0.001703
17,883.901,0.16916,0.17083,0.79086,0.99984,1,0.995,0.995,0.10911,0.11394,0.75831,0.0016832,0.0016832,0.0016832
18,936.317,0.17738,0.17251,0.7921,0.99892,1,0.9948,0.9948,0.10609,0.10906,0.75867,0.0016634,0.0016634,0.0016634
19,988.744,0.17647,0.17044,0.79289,0.99986,1,0.995,0.99497,0.10189,0.11269,0.7592,0.0016436,0.0016436,0.0016436
20,1041.22,0.17023,0.16698,0.78898,0.99986,1,0.995,0.995,0.10989,0.10891,0.75701,0.0016238,0.0016238,0.0016238
21,1093.63,0.17145,0.16699,0.7875,0.99894,1,0.99464,0.99461,0.10339,0.10701,0.75742,0.001604,0.001604,0.001604
22,1146.15,0.16282,0.163,0.78675,0.99969,1,0.995,0.995,0.10018,0.09947,0.75722,0.0015842,0.0015842,0.0015842
23,1198.73,0.15932,0.15934,0.78693,0.99872,1,0.99475,0.99475,0.1034,0.10534,0.75759,0.0015644,0.0015644,0.0015644
24,1251.46,0.16127,0.15867,0.78969,0.99887,1,0.99483,0.99483,0.10043,0.10469,0.75702,0.0015446,0.0015446,0.0015446
25,1303.95,0.15589,0.15283,0.79068,0.99994,1,0.995,0.995,0.09596,0.10045,0.75743,0.0015248,0.0015248,0.0015248
26,1356.44,0.15654,0.15057,0.78811,0.99994,1,0.995,0.995,0.10053,0.09617,0.75784,0.001505,0.001505,0.001505
27,1408.82,0.15268,0.14867,0.78761,0.99993,1,0.995,0.995,0.09834,0.09696,0.75664,0.0014852,0.0014852,0.0014852
28,1461.41,0.1536,0.14968,0.78885,0.99788,1,0.99469,0.99469,0.09777,0.10115,0.75696,0.0014654,0.0014654,0.0014654
29,1513.96,0.15045,0.14648,0.79022,0.99994,1,0.995,0.995,0.08574,0.0915,0.75697,0.0014456,0.0014456,0.0014456
30,1566.46,0.15085,0.14729,0.78777,0.99991,1,0.995,0.995,0.08641,0.09192,0.75583,0.0014258,0.0014258,0.0014258
31,1618.79,0.14739,0.14549,0.78838,0.99892,1,0.995,0.995,0.08485,0.08774,0.75643,0.001406,0.001406,0.001406
32,1671.32,0.14652,0.14699,0.78754,0.99891,1,0.99498,0.99498,0.09277,0.09142,0.75667,0.0013862,0.0013862,0.0013862
33,1723.65,0.14615,0.14113,0.7875,0.99891,1,0.9949,0.9949,0.08718,0.08668,0.756,0.0013664,0.0013664,0.0013664
34,1776.12,0.14282,0.13702,0.78728,0.99986,1,0.995,0.995,0.08375,0.08643,0.75565,0.0013466,0.0013466,0.0013466
35,1828.63,0.14285,0.13873,0.78662,0.99896,1,0.995,0.99499,0.08346,0.08276,0.7555,0.0013268,0.0013268,0.0013268
36,1881.02,0.13561,0.13591,0.78892,0.99893,1,0.995,0.995,0.07905,0.08489,0.75613,0.001307,0.001307,0.001307
37,1933.75,0.13517,0.1335,0.786,0.99895,1,0.99442,0.99442,0.0819,0.0808,0.75559,0.0012872,0.0012872,0.0012872
38,1986.11,0.14312,0.14085,0.78758,0.99893,1,0.99488,0.99488,0.07883,0.08354,0.75611,0.0012674,0.0012674,0.0012674
39,2038.48,0.14313,0.14119,0.78713,0.99994,1,0.995,0.99498,0.08667,0.08632,0.75592,0.0012476,0.0012476,0.0012476
